Term,Description,Translation (ru)
Strength,Ability score,Сила
Dexterity,Ability score,Ловкость
Constitution,Ability score,Телосложение
Intelligence,Ability score,Интеллект
Wisdom,Ability score,Мудрость
Charisma,Ability score,Харизма
Hit Points,Health resource (HP),Хиты
Armor Class,Defense stat (AC),Класс Доспеха
Saving Throw,Ability-based save,Спасбросок
Proficiency Bonus,Level-based bonus,Бонус Мастерства
Spell Slot,Resource for casting spells,Ячейка Заклинаний
Cantrip,Level 0 spell,Заговор
Concentration,Spell maintenance mechanic,Концентрация
Long Rest,8-hour rest,Продолжительный Отдых
Short Rest,1-hour rest,Короткий Отдых
Bonus Action,Extra action on your turn,Бонусное Действие
Reaction,Response to a trigger,Реакция
Action,Main action on your turn,Действие
Advantage,Roll 2d20 take higher,Преимущество
Disadvantage,Roll 2d20 take lower,Помеха
Resistance,Half damage from a type,Сопротивление
Immunity,No damage from a type,Иммунитет
Vulnerability,Double damage from a type,Уязвимость
Unarmed Strike,Attack without weapon,Безоружный Удар
Attunement,Bond with a magic item,Настройка
Initiative,Turn order in combat,Инициатива
Proficiency,Trained in a skill/tool,Владение
Ability Check,Roll using ability score,Проверка Характеристики
Attack Roll,Roll to hit a target,Бросок Атаки
Damage Roll,Roll for damage dealt,Бросок Урона
Death Saving Throw,Save when dying,Спасбросок от Смерти
Hit Die,HP recovery die,Кость Хитов
Spell Attack,Attack using spellcasting,Атака Заклинанием
Spell Save DC,Difficulty to resist spell,СЛ Спасброска Заклинания
Melee,Close range combat,Ближний бой
Ranged,Long range combat,Дальний бой
Level,Character progression tier,Уровень
Experience Points,Progression currency (XP),Очки Опыта
Feat,Special character ability,Черта
Subclass,Class specialization,Подкласс
Multiclassing,Taking levels in multiple classes,Мультиклассирование
Ability Score Improvement,Level-up stat increase,Увеличение Характеристик
Rage,Barbarian core feature,Ярость
Sneak Attack,Rogue core feature,Скрытая Атака
Wild Shape,Druid core feature,Дикий Облик
Channel Divinity,Cleric/Paladin feature,Божественный Канал
Spellcasting,Ability to cast spells,Использование Заклинаний
Extra Attack,Additional attack per turn,Дополнительная Атака
Fighting Style,Combat specialization,Боевой Стиль
Eldritch Invocation,Warlock customization,Мистическое Воззвание
Metamagic,Sorcerer spell modification,Метамагия
Ki,Monk resource,Ки
Bardic Inspiration,Bard support feature,Бардовское Вдохновение
Lay on Hands,Paladin healing feature,Наложение Рук
Favored Enemy,Ranger tracking feature,Избранный Враг
Cunning Action,Rogue bonus action feature,Хитрое Действие
Arcane Recovery,Wizard spell slot recovery,Тайное Восстановление
Infusion,Artificer item enhancement,Инфузия
Light Armor,Armor category,Лёгкие Доспехи
Medium Armor,Armor category,Средние Доспехи
Heavy Armor,Armor category,Тяжёлые Доспехи
Shield,Defensive equipment,Щит
Simple Weapon,Basic weapon category,Простое Оружие
Martial Weapon,Advanced weapon category,Воинское Оружие
Finesse,Weapon property: Str or Dex,Фехтовальное
Versatile,Weapon property: one or two hands,Универсальное
Two-Handed,Weapon property: requires both hands,Двуручное
Thrown,Weapon property: can be thrown,Метательное
Loading,Weapon property: one shot per action,Заряжаемое
Reach,Weapon property: extra 5ft range,Досягаемость
Heavy,Weapon property: small creatures penalized,Тяжёлое
Charmed,"Condition: can't attack charmer, charmer has social advantage",Очарованный
Frightened,"Condition: disadvantage on checks/attacks, can't approach source",Испуганный
Poisoned,Condition: disadvantage on attacks and checks,Отравленный
Stunned,"Condition: incapacitated, auto-fail Str/Dex saves",Ошеломлённый
Paralyzed,"Condition: incapacitated, auto-fail Str/Dex saves, crits in 5ft",Парализованный
